match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
170,1,Mumbai Indians,Delhi Daredevils,1,1,ST Jayasuriya,SR Tendulkar,DP Nannes,0,1,0,0,0,0,0,1,1,,,
170,1,Mumbai Indians,Delhi Daredevils,1,2,ST Jayasuriya,SR Tendulkar,DP Nannes,0,1,0,0,0,0,0,1,1,,,
170,1,Mumbai Indians,Delhi Daredevils,1,3,ST Jayasuriya,SR Tendulkar,DP Nannes,0,0,0,0,0,0,0,0,0,ST Jayasuriya,lbw,
170,1,Mumbai Indians,Delhi Daredevils,1,4,JP Duminy,SR Tendulkar,DP Nannes,0,0,0,0,0,0,1,0,1,,,
170,1,Mumbai Indians,Delhi Daredevils,1,5,SR Tendulkar,JP Duminy,DP Nannes,0,1,0,0,0,0,0,1,1,,,
170,1,Mumbai Indians,Delhi Daredevils,1,6,SR Tendulkar,JP Duminy,DP Nannes,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,1,7,SR Tendulkar,JP Duminy,DP Nannes,0,0,0,0,0,0,1,0,1,,,
170,1,Mumbai Indians,Delhi Daredevils,1,8,JP Duminy,SR Tendulkar,DP Nannes,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,1,9,JP Duminy,SR Tendulkar,DP Nannes,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,2,1,SR Tendulkar,JP Duminy,AM Salvi,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,2,2,SR Tendulkar,JP Duminy,AM Salvi,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,2,3,SR Tendulkar,JP Duminy,AM Salvi,0,0,0,0,0,0,4,0,4,,,
170,1,Mumbai Indians,Delhi Daredevils,2,4,SR Tendulkar,JP Duminy,AM Salvi,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,2,5,SR Tendulkar,JP Duminy,AM Salvi,0,0,0,0,0,0,4,0,4,,,
170,1,Mumbai Indians,Delhi Daredevils,2,6,SR Tendulkar,JP Duminy,AM Salvi,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,3,1,JP Duminy,SR Tendulkar,DP Nannes,0,0,0,0,0,0,4,0,4,,,
170,1,Mumbai Indians,Delhi Daredevils,3,2,JP Duminy,SR Tendulkar,DP Nannes,0,0,0,0,0,0,4,0,4,,,
170,1,Mumbai Indians,Delhi Daredevils,3,3,JP Duminy,SR Tendulkar,DP Nannes,0,0,0,0,0,0,0,0,0,JP Duminy,caught,KD Karthik
170,1,Mumbai Indians,Delhi Daredevils,3,4,Mohammad Ashraful,SR Tendulkar,DP Nannes,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,3,5,Mohammad Ashraful,SR Tendulkar,DP Nannes,0,0,0,0,0,0,0,0,0,,,
170,1,Mumbai Indians,Delhi Daredevils,3,6,Mohammad Ashraful,SR Tendulkar,DP Nannes,0,1,0,0,0,0,0,1,1,,,
170,1,Mumbai Indians,Delhi Daredevils,3,7,Mohammad Ashraful,SR Tendulkar,DP Nannes,0,0,0,1,0,0,0,1,1,,,
