match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
56,1,Rising Pune Supergiant,Mumbai Indians,1,1,AM Rahane,RA Tripathi,MJ McClenaghan,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,1,2,AM Rahane,RA Tripathi,MJ McClenaghan,0,0,0,0,0,0,2,0,2,,,
56,1,Rising Pune Supergiant,Mumbai Indians,1,3,AM Rahane,RA Tripathi,MJ McClenaghan,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,1,4,RA Tripathi,AM Rahane,MJ McClenaghan,0,0,0,1,0,0,0,1,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,1,5,AM Rahane,RA Tripathi,MJ McClenaghan,0,1,0,0,0,0,0,1,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,1,6,AM Rahane,RA Tripathi,MJ McClenaghan,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,1,7,RA Tripathi,AM Rahane,MJ McClenaghan,0,0,0,0,0,0,0,0,0,RA Tripathi,bowled,
56,1,Rising Pune Supergiant,Mumbai Indians,2,1,AM Rahane,SPD Smith,SL Malinga,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,2,2,AM Rahane,SPD Smith,SL Malinga,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,2,3,SPD Smith,AM Rahane,SL Malinga,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,2,4,AM Rahane,SPD Smith,SL Malinga,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,2,5,SPD Smith,AM Rahane,SL Malinga,0,0,0,0,0,0,0,0,0,SPD Smith,caught,HH Pandya
56,1,Rising Pune Supergiant,Mumbai Indians,2,6,MK Tiwary,AM Rahane,SL Malinga,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,3,1,AM Rahane,MK Tiwary,MJ McClenaghan,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,3,2,AM Rahane,MK Tiwary,MJ McClenaghan,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,3,3,AM Rahane,MK Tiwary,MJ McClenaghan,0,0,0,0,0,0,4,0,4,,,
56,1,Rising Pune Supergiant,Mumbai Indians,3,4,AM Rahane,MK Tiwary,MJ McClenaghan,0,0,0,0,0,0,4,0,4,,,
56,1,Rising Pune Supergiant,Mumbai Indians,3,5,AM Rahane,MK Tiwary,MJ McClenaghan,0,0,0,0,0,0,2,0,2,,,
56,1,Rising Pune Supergiant,Mumbai Indians,3,6,AM Rahane,MK Tiwary,MJ McClenaghan,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,4,1,MK Tiwary,AM Rahane,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,4,2,AM Rahane,MK Tiwary,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,4,3,MK Tiwary,AM Rahane,JJ Bumrah,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,4,4,MK Tiwary,AM Rahane,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,4,5,AM Rahane,MK Tiwary,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,4,6,MK Tiwary,AM Rahane,JJ Bumrah,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,5,1,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,5,2,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,5,3,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,5,4,AM Rahane,MK Tiwary,KV Sharma,0,0,0,0,0,0,4,0,4,,,
56,1,Rising Pune Supergiant,Mumbai Indians,5,5,AM Rahane,MK Tiwary,KV Sharma,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,5,6,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,6,1,MK Tiwary,AM Rahane,SL Malinga,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,6,2,MK Tiwary,AM Rahane,SL Malinga,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,6,3,AM Rahane,MK Tiwary,SL Malinga,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,6,4,AM Rahane,MK Tiwary,SL Malinga,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,6,5,AM Rahane,MK Tiwary,SL Malinga,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,6,6,AM Rahane,MK Tiwary,SL Malinga,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,7,1,AM Rahane,MK Tiwary,KV Sharma,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,7,2,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,6,0,6,,,
56,1,Rising Pune Supergiant,Mumbai Indians,7,3,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,7,4,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,7,5,AM Rahane,MK Tiwary,KV Sharma,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,7,6,MK Tiwary,AM Rahane,KV Sharma,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,8,1,AM Rahane,MK Tiwary,KH Pandya,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,8,2,AM Rahane,MK Tiwary,KH Pandya,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,8,3,AM Rahane,MK Tiwary,KH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,8,4,MK Tiwary,AM Rahane,KH Pandya,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,8,5,MK Tiwary,AM Rahane,KH Pandya,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,8,6,MK Tiwary,AM Rahane,KH Pandya,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,9,1,AM Rahane,MK Tiwary,HH Pandya,0,0,0,0,0,0,6,0,6,,,
56,1,Rising Pune Supergiant,Mumbai Indians,9,2,AM Rahane,MK Tiwary,HH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,9,3,MK Tiwary,AM Rahane,HH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,9,4,AM Rahane,MK Tiwary,HH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,9,5,MK Tiwary,AM Rahane,HH Pandya,0,0,0,0,0,0,4,0,4,,,
56,1,Rising Pune Supergiant,Mumbai Indians,9,6,MK Tiwary,AM Rahane,HH Pandya,0,0,0,0,0,0,2,0,2,,,
56,1,Rising Pune Supergiant,Mumbai Indians,10,1,AM Rahane,MK Tiwary,KH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,10,2,MK Tiwary,AM Rahane,KH Pandya,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,10,3,MK Tiwary,AM Rahane,KH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,10,4,AM Rahane,MK Tiwary,KH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,10,5,MK Tiwary,AM Rahane,KH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,10,6,AM Rahane,MK Tiwary,KH Pandya,0,0,0,0,0,0,1,0,1,,,
56,1,Rising Pune Supergiant,Mumbai Indians,11,1,AM Rahane,MK Tiwary,SL Malinga,0,0,0,0,0,0,0,0,0,,,
56,1,Rising Pune Supergiant,Mumbai Indians,11,2,AM Rahane,MK Tiwary,SL Malinga,0,0,0,0,0,0,4,0,4,,,
56,1,Rising Pune Supergiant,Mumbai Indians,11,3,AM Rahane,MK Tiwary,SL Malinga,0,0,0,0,0,0,1,0,1,,,
