match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
149,1,Chennai Super Kings,Kings XI Punjab,1,1,S Badrinath,ML Hayden,IK Pathan,0,0,0,0,0,0,0,0,0,S Badrinath,caught,VRV Singh
149,1,Chennai Super Kings,Kings XI Punjab,1,2,SK Raina,ML Hayden,IK Pathan,0,0,0,0,0,0,0,0,0,,,
149,1,Chennai Super Kings,Kings XI Punjab,1,3,SK Raina,ML Hayden,IK Pathan,0,0,0,0,0,0,1,0,1,,,
149,1,Chennai Super Kings,Kings XI Punjab,1,4,ML Hayden,SK Raina,IK Pathan,0,0,0,0,0,0,0,0,0,,,
149,1,Chennai Super Kings,Kings XI Punjab,1,5,ML Hayden,SK Raina,IK Pathan,0,0,0,0,0,0,4,0,4,,,
149,1,Chennai Super Kings,Kings XI Punjab,1,6,ML Hayden,SK Raina,IK Pathan,0,0,0,0,0,0,0,0,0,,,
149,1,Chennai Super Kings,Kings XI Punjab,2,1,SK Raina,ML Hayden,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
149,1,Chennai Super Kings,Kings XI Punjab,2,2,ML Hayden,SK Raina,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
149,1,Chennai Super Kings,Kings XI Punjab,2,3,ML Hayden,SK Raina,S Sreesanth,0,0,0,0,0,0,4,0,4,,,
149,1,Chennai Super Kings,Kings XI Punjab,2,4,ML Hayden,SK Raina,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
149,1,Chennai Super Kings,Kings XI Punjab,2,5,ML Hayden,SK Raina,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
149,1,Chennai Super Kings,Kings XI Punjab,2,6,SK Raina,ML Hayden,S Sreesanth,0,1,0,0,0,0,0,1,1,,,
149,1,Chennai Super Kings,Kings XI Punjab,2,7,SK Raina,ML Hayden,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
149,1,Chennai Super Kings,Kings XI Punjab,3,1,SK Raina,ML Hayden,IK Pathan,0,0,0,0,0,0,6,0,6,,,
149,1,Chennai Super Kings,Kings XI Punjab,3,2,SK Raina,ML Hayden,IK Pathan,0,0,0,0,0,0,4,0,4,,,
149,1,Chennai Super Kings,Kings XI Punjab,3,3,SK Raina,ML Hayden,IK Pathan,0,0,0,0,0,0,0,0,0,,,
149,1,Chennai Super Kings,Kings XI Punjab,3,4,SK Raina,ML Hayden,IK Pathan,0,0,0,0,0,0,1,0,1,,,
149,1,Chennai Super Kings,Kings XI Punjab,3,5,ML Hayden,SK Raina,IK Pathan,0,0,0,0,0,0,1,0,1,,,
149,1,Chennai Super Kings,Kings XI Punjab,3,6,SK Raina,ML Hayden,IK Pathan,0,0,0,0,0,0,4,0,4,,,
149,1,Chennai Super Kings,Kings XI Punjab,4,1,ML Hayden,SK Raina,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
