match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,1,1,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,0,0,0,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,1,2,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,0,0,0,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,1,3,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,0,0,0,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,1,4,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,1,0,1,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,1,5,G Gambhir,MS Bisla,DW Steyn,0,0,0,0,0,0,1,0,1,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,1,6,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,1,0,1,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,1,MS Bisla,G Gambhir,GH Vihari,0,0,0,0,0,0,4,0,4,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,2,MS Bisla,G Gambhir,GH Vihari,0,0,0,0,0,0,4,0,4,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,3,MS Bisla,G Gambhir,GH Vihari,0,0,0,1,0,0,0,1,1,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,4,G Gambhir,MS Bisla,GH Vihari,0,0,0,0,0,0,2,0,2,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,5,G Gambhir,MS Bisla,GH Vihari,0,0,0,0,0,0,0,0,0,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,6,G Gambhir,MS Bisla,GH Vihari,0,0,0,0,0,0,4,0,4,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,3,1,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,0,0,0,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,3,2,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,1,0,1,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,3,3,G Gambhir,MS Bisla,DW Steyn,0,0,0,0,0,0,3,0,3,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,3,4,MS Bisla,G Gambhir,DW Steyn,0,0,0,0,0,0,1,0,1,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,3,5,G Gambhir,MS Bisla,DW Steyn,0,0,0,0,0,0,0,0,0,,,
397,1,Kolkata Knight Riders,Sunrisers Hyderabad,3,6,G Gambhir,MS Bisla,DW Steyn,0,0,0,0,0,0,1,0,1,,,
