match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
501,1,Mumbai Indians,Rajasthan Royals,1,1,MEK Hussey,LMP Simmons,Ankit Sharma,0,0,0,0,0,0,1,0,1,,,
501,1,Mumbai Indians,Rajasthan Royals,1,2,LMP Simmons,MEK Hussey,Ankit Sharma,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,1,3,LMP Simmons,MEK Hussey,Ankit Sharma,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,1,4,LMP Simmons,MEK Hussey,Ankit Sharma,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,1,5,LMP Simmons,MEK Hussey,Ankit Sharma,0,0,0,0,0,0,1,0,1,,,
501,1,Mumbai Indians,Rajasthan Royals,1,6,MEK Hussey,LMP Simmons,Ankit Sharma,0,0,0,0,0,0,2,0,2,,,
501,1,Mumbai Indians,Rajasthan Royals,2,1,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,2,2,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,2,3,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,2,4,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,2,5,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,2,6,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,4,0,4,,,
501,1,Mumbai Indians,Rajasthan Royals,3,1,MEK Hussey,LMP Simmons,Ankit Sharma,0,0,0,0,0,0,1,0,1,,,
501,1,Mumbai Indians,Rajasthan Royals,3,2,LMP Simmons,MEK Hussey,Ankit Sharma,0,0,0,0,0,0,1,0,1,,,
501,1,Mumbai Indians,Rajasthan Royals,3,3,MEK Hussey,LMP Simmons,Ankit Sharma,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,3,4,MEK Hussey,LMP Simmons,Ankit Sharma,0,0,0,0,0,0,3,0,3,,,
501,1,Mumbai Indians,Rajasthan Royals,3,5,LMP Simmons,MEK Hussey,Ankit Sharma,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,3,6,LMP Simmons,MEK Hussey,Ankit Sharma,0,0,0,0,0,0,1,0,1,,,
501,1,Mumbai Indians,Rajasthan Royals,4,1,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,4,0,4,,,
501,1,Mumbai Indians,Rajasthan Royals,4,2,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,4,3,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,1,0,1,,,
501,1,Mumbai Indians,Rajasthan Royals,4,4,MEK Hussey,LMP Simmons,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,4,5,MEK Hussey,LMP Simmons,DS Kulkarni,0,1,0,0,0,0,0,1,1,,,
501,1,Mumbai Indians,Rajasthan Royals,4,6,MEK Hussey,LMP Simmons,DS Kulkarni,0,0,0,0,0,0,1,0,1,,,
501,1,Mumbai Indians,Rajasthan Royals,4,7,LMP Simmons,MEK Hussey,DS Kulkarni,0,0,0,0,0,0,0,0,0,,,
501,1,Mumbai Indians,Rajasthan Royals,5,1,MEK Hussey,LMP Simmons,JP Faulkner,0,0,0,0,0,0,4,0,4,,,
501,1,Mumbai Indians,Rajasthan Royals,5,2,MEK Hussey,LMP Simmons,JP Faulkner,0,0,0,0,0,0,0,0,0,,,
